"speaker","transcription","url","headlin","timing"
"Speaker 1","CNN sucks! CNN sucks! CNN sucks!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","08:05"
"President Donald J. Trump","I agree. I agree. But they’re all in that bag. ABC, terrible. NBC is probably the worst of all. It’s called Concast. C-O-N, not Com. C-O-N, Concast, because they’re cons. It’s a big con job. It’s a big con job. They spend all that money for public relations, and then I talk about them, that’s the end of the public relations. Con job. How did you guys do today, please, on Section 230. Mike Lee, how are you doing? You know what? What they’re doing is a disgrace. Joe Biden is a corrupt politician and they refuse to talk about it. You’ve got to do it. You’ve got to do it. I mean, it’s crazy. They’re getting away, what the big tech is getting away with. They will not allow anybody to even discuss it. With me, they write false stories, they can do whatever they want. Section 230, Rand. I hope you’re all looking at it, okay? I hope you’re all looking at it. Because there was a lot of stuff today.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","08:07"
"President Donald J. Trump","They were up there and they were very nervous in front of the Senate. They were very nervous. I have to tell you that. They were shaken up a little bit, because without Section 230, they don’t even exist. They don’t even exist. For 47 years, Joe Biden betrayed the American people and he betrayed Hispanic Americans. Over the last four years, I’ve been delivering for Hispanic Americans like never before. And Hispanic American unemployment reached an all time low prior to the pandemic.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","09:18"
"Speaker 1","Latinos for Trump! Latinos for Trump! Latinos for Trump! Latinos for Trump! Latinos for Trump!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","09:59"
"President Donald J. Trump","It’s crazy. I love you too. Nobody knows what happened. The fake news, look at all of them back there. That’s a lot of fake news back there. Look at that. Those red lights just went off. Anytime I refer to them, they turn the light off very quickly. They don’t want to have it broadcast when I call CNN bad names. Hispanic American families saw their net worth skyrocket by 64%. And I’m sitting in the hottest sun I’ve ever felt. This is hot. My last stop also in your great state, it had a different problem. The sun was hot. I’ve never seen wind like that. It’s lucky I don’t need teleprompters like Sleepy Joe because the teleprompters were falling down. They were going all over the place. I was getting a headache. I’m trying to look. But I have a good memory. I remember things unlike the sleepy one. He’s in a lid again. Did you know that, fellas? He’s in lid. This guy’s in a lid every single day. Lid, that refers to a garbage can. They put the lid on the can. He’s in his basement.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","09:59"
"President Donald J. Trump","By the way, I’d like to be in a basement. I’d like to be in some place. I’d like to be in a beautiful bedroom, nice for a year and a half, two years, never come out of the White House. But I’m your President, I have to. I have to come out. I have to meet people. I have to meet people. We have to meet people. And I said, “This could be a little bit shaky, to meet a lot of people, but we have no choice.” And you probably haven’t heard, but I caught it. I caught it. Did anybody know that? I caught it. And then you get better and you’re immune. And they say, “You’re immune for a year.” They used to say you’re immune forever, but when I got it, I said, “I’m immune.” They said, “It’s only for four months.” I don’t know what happened. They said, “You’re immune for a lifetime,” right? Remember? Until I had it. Once I had it, now it’s only up to four months.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","11:23"
"President Donald J. Trump","But I got better. Great doctors at the White House. We have great doctors. Great doctors all over the country. I had doctors from all over the country. One thing I learned quickly, when you’re the President and you’re not feeling too good, I didn’t feel great, you have more doctors than you’ve ever seen in your life before. It was like a public place. And they were gathered around my bed. They said, “What’s the problem?” I said, “I don’t know, doc, but I’m not feeling too good. And I’ve got to get back on the trail.” You know what the trail is, right? The campaign trail. “I’ve got to get back on the trail. Get me the hell out of here, doc.” John’s Hopkins was great. We have all the great hospitals represented. And I’ll tell you, Walter Reed is incredible. I’ve seen what they do to the soldiers. They come back so badly wounded and they fix them.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","12:14"
"Speaker 1","Vets for Trump!","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","13:02"
"President Donald J. Trump","Thank you. Thank you. Walter Reed is so great, but they’re all around and they’re saying, “Sir, I think you’re going to have to take it easy for a little while.” Then they gave me something called Regeneron. Did you ever hear of Regeneron? And we’re going to make it available to everybody that needs it free. Free, right? Free. Antibodies. And all I know, and I don’t want to give any credit to this drug, I want to say it was me, because I’m in perfect physical condition, and I’m very young. I’m very young and I’m in perfect physical shape. Perfect. I said that jokingly. I said that a couple of weeks ago. CNN, fake news CNN, went crazy. “He’s not in perfect shape and he’s not young.” They went crazy. They thought it was horrible. A horrible, horrible statement.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","13:02"
"President Donald J. Trump","No, we did a great job, and I would like to say that the antibody, what they gave me, didn’t help, but it probably did, because I woke up the next morning and I felt like Superman. I wanted to rip my shirt off, just like Clark Kent. Anybody ever hear of Clark Kent? Just like the legendary Clark Kent.","https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-goodyear-az-october-28","Donald Trump Rally Speech Transcript Goodyear, AZ October 28","13:58"
